date_of_trip,Member type,count
2011-12-12,Casual,143
2011-12-12,Member,3121
2011-12-13,Casual,154
2011-12-13,Member,3327
2011-12-14,Casual,178
2011-12-14,Member,3515
2011-12-15,Casual,180
2011-12-15,Member,3490
2011-12-16,Casual,178
2011-12-16,Member,3359
2011-12-17,Casual,275
2011-12-17,Member,2435
2011-12-18,Casual,220
2011-12-18,Member,2182
2011-12-19,Casual,259
2011-12-19,Member,3107
2011-12-20,Casual,216
2011-12-20,Member,3498
2011-12-21,Casual,107
2011-12-21,Member,2533
2011-12-22,Casual,227
2011-12-22,Member,2801
2011-12-23,Casual,163
2011-12-23,Member,2019
2011-12-24,Casual,154
2011-12-24,Member,840
2011-12-25,Casual,303
2011-12-25,Member,439
2011-12-26,Casual,429
2011-12-26,Member,864
2011-12-27,Casual,103
2011-12-27,Member,1049
2011-12-28,Casual,255
2011-12-28,Member,2020
2011-12-29,Casual,254
2011-12-29,Member,2149
2011-12-30,Casual,491
2011-12-30,Member,2476
2011-12-31,Casual,665
2011-12-31,Member,1792
2012-01-01,Casual,688
2012-01-01,Member,1572
2012-01-02,Casual,244
2012-01-02,Member,1693
2012-01-03,Casual,89
2012-01-03,Member,2130
2012-01-04,Casual,95
2012-01-04,Member,2262
2012-01-05,Casual,140
2012-01-05,Member,3111
2012-01-06,Casual,304
2012-01-06,Member,3750
2012-01-07,Casual,1074
2012-01-07,Member,3406
2012-01-08,Casual,601
2012-01-08,Member,2807
2012-01-09,Casual,106
2012-01-09,Member,2219
2012-01-10,Casual,173
2012-01-10,Member,3400
2012-01-11,Casual,92
2012-01-11,Member,2074
2012-01-12,Casual,270
2012-01-12,Member,3793
2012-01-13,Casual,173
2012-01-13,Member,3017
2012-01-14,Casual,333
2012-01-14,Member,2137
2012-01-15,Casual,283
2012-01-15,Member,2009
2012-01-16,Casual,217
2012-01-16,Member,2060
2012-01-17,Casual,125
2012-01-17,Member,2788
2012-01-18,Casual,109
2012-01-18,Member,3244
2012-01-19,Casual,131
2012-01-19,Member,3147
2012-01-20,Casual,114
2012-01-20,Member,3012
2012-01-21,Casual,67
2012-01-21,Member,1217
2012-01-22,Casual,196
2012-01-22,Member,1758
2012-01-23,Casual,145
2012-01-23,Member,2266
2012-01-24,Casual,439
2012-01-24,Member,3856
2012-01-25,Casual,467
2012-01-25,Member,3767
2012-01-26,Casual,243
2012-01-26,Member,3784
2012-01-27,Casual,269
2012-01-27,Member,3149
2012-01-28,Casual,776
2012-01-28,Member,3213
2012-01-29,Casual,557
2012-01-29,Member,2649
2012-01-30,Casual,126
2012-01-30,Member,3459
2012-01-31,Casual,324
2012-01-31,Member,4152
2012-02-01,Casual,304
2012-02-01,Member,4241
2012-02-02,Casual,190
2012-02-02,Member,3547
2012-02-03,Casual,310
2012-02-03,Member,3808
2012-02-04,Casual,383
2012-02-04,Member,2414
2012-02-05,Casual,317
2012-02-05,Member,2596
2012-02-06,Casual,206
2012-02-06,Member,3551
2012-02-07,Casual,200
2012-02-07,Member,4151
2012-02-08,Casual,107
2012-02-08,Member,2676
2012-02-09,Casual,161
2012-02-09,Member,3631
2012-02-10,Casual,225
2012-02-10,Member,3572
2012-02-11,Casual,192
2012-02-11,Member,1961
2012-02-12,Casual,73
2012-02-12,Member,1440
2012-02-13,Casual,94
2012-02-13,Member,3303
2012-02-14,Casual,131
2012-02-14,Member,3754
2012-02-15,Casual,141
2012-02-15,Member,3989
2012-02-16,Casual,74
2012-02-16,Member,2908
2012-02-17,Casual,349
2012-02-17,Member,3763
2012-02-18,Casual,1434
2012-02-18,Member,2836
2012-02-18,Unknown,1
2012-02-19,Casual,618
2012-02-19,Member,2051
2012-02-20,Casual,502
2012-02-20,Member,2589
2012-02-21,Casual,163
2012-02-21,Member,3586
2012-02-22,Casual,393
2012-02-22,Member,4343
2012-02-23,Casual,516
2012-02-23,Member,4499
2012-02-24,Casual,246
2012-02-24,Member,3213
2012-02-25,Casual,317
2012-02-25,Member,2372
2012-02-26,Casual,515
2012-02-26,Member,2845
2012-02-27,Casual,253
2012-02-27,Member,4033
2012-02-28,Casual,229
2012-02-28,Member,4104
2012-02-29,Casual,65
2012-02-29,Member,1750
